2 1684.621 63.247 292.263 0.047 1.363 0.055 100.000 20.000
12 106.272 1702.701 291.963 0.690 1.204 10.987 500.000 20.000
102 1746.155 67.419 292.144 0.050 1.403 0.052 900.000 60.000
112 5986.915 119.803 291.976 0.025 1.329 0.026 1300.000 60.000
113 1924.072 73.279 291.787 0.050 1.424 0.052 1340.000 60.000
122 1.057 1531.055 306.555 1500.641 4.826 766.652 1700.000 60.000
123 3412.757 4752.270 291.817 0.914 16.564 7.949 1740.000 60.000
212 6.289 78.098 282.998 40.687 3.189 62.737 2100.000 100.000
213 1742.536 73.193 291.773 0.053 1.374 0.057 2140.000 100.000
222 1.567 0.000 292.000 0.000 5.000 0.000 2500.000 100.000
223 3536.998 128.631 291.639 0.044 1.327 0.046 2540.000 100.000
233 26.155 8.138 285.399 8.795 -0.237 4.097 2940.000 100.000
243 1.567 0.000 292.000 0.000 5.000 0.000 140.000 140.000
313 1.616 0.177 292.000 1.414 1.816 1.413 2940.000 140.000
314 1.567 0.000 292.000 0.000 5.000 0.000 2980.000 140.000
323 442.265 46.152 291.437 0.126 1.378 0.144 140.000 180.000
324 1787.391 66.499 291.447 0.049 1.359 0.049 180.000 180.000
333 1.567 26.850 292.000 9304.510 5.000 82.077 540.000 180.000
334 104.686 18.778 291.053 0.259 1.656 0.301 580.000 180.000
424 192.838 26.769 291.087 0.222 1.882 0.239 980.000 220.000
434 261.304 31.517 291.254 0.188 1.746 0.190 1380.000 220.000

2 275.326 30.790 1135.412 0.246 2.238 0.259 100.000 20.000
12 11.371 17.502 1136.384 7.349 6.173 5.611 500.000 20.000
102 279.286 34.855 1135.291 0.285 2.297 0.274 900.000 60.000
112 1051.577 65.719 1134.545 0.136 2.258 0.148 1300.000 60.000
113 320.385 36.636 1133.587 0.247 2.097 0.222 1340.000 60.000
122 0.989 4189.039 1133.092 13724586.296 2.055 13.836 1700.000 60.000
123 8822.169 6120.985 1107.834 2.907 24.471 3.463 1740.000 60.000
212 0.995 69.500 1139.885 8.603 1.166 42.036 2100.000 100.000
213 351.324 39.261 1133.536 0.222 1.998 0.230 2140.000 100.000
222 1.567 0.000 1133.000 0.000 6.000 0.000 2500.000 100.000
223 427.186 62.006 1132.864 0.234 1.566 0.229 2540.000 100.000
233 546.377 529.751 1198.872 102.840 85.640 58.489 2940.000 100.000
243 1.346 5696.612 1132.853 108254.105 1.522 4.022 140.000 140.000
253 1.567 0.000 1133.000 0.000 6.000 0.000 540.000 140.000
313 1.681 314.656 1120.765 556.789 3.000 280.903 2940.000 140.000
314 0.830 21190.023 1167.312 54957824417.340 5.920 109.507 2980.000 140.000
323 60.326 16.996 1132.058 0.238 0.857 0.330 140.000 180.000
324 359.524 47.684 1132.540 0.339 3.135 0.409 180.000 180.000
333 1.346 5696.612 1132.853 108254.105 1.522 4.022 540.000 180.000
334 97.458 158.231 1126.832 6.052 12.110 11.802 580.000 180.000
414 1.567 0.000 1133.000 0.000 6.000 0.000 580.000 220.000
424 10663.054 5583.338 1138.412 2.537 53.982 14.379 980.000 220.000
434 4386.438 9805.390 1115.755 9.765 17.235 10.430 1380.000 220.000

2 228.044 79.167 2380.323 1.070 6.096 1.667 100.000 20.000
12 3.260 24.571 2373.201 5.492 0.895 10.160 500.000 20.000
102 707.448 49.550 2379.922 0.269 4.367 0.278 900.000 60.000
112 2006.944 82.064 2378.839 0.150 4.051 0.161 1300.000 60.000
113 390.033 40.791 2377.520 0.336 3.503 0.373 1340.000 60.000
122 0.520 408.367 2374.384 1656.025 6.594 693.749 1700.000 60.000
123 -825.669 2025638633.604 42854.349 201911752578.379 -5311.219 2103656.141 1740.000 60.000
212 1.586 13.924 2363.119 18.466 1.374 20.176 2100.000 100.000
213 432.179 58.219 2377.535 0.516 4.680 0.562 2140.000 100.000
222 0.783 0.000 2375.000 0.000 7.000 0.000 2500.000 100.000
223 376.424 85.449 2375.866 0.917 4.551 0.783 2540.000 100.000
233 558.240 505.484 2384.125 0.095 1.199 0.043 2940.000 100.000
243 0.497 8250.590 2345.835 10520241859.607 6.918 230.840 140.000 140.000
253 0.783 0.000 2375.000 0.000 7.000 0.000 540.000 140.000
313 0.783 0.000 2375.000 0.000 7.000 0.000 2940.000 140.000
314 0.783 0.000 2375.000 0.000 7.000 0.000 2980.000 140.000
323 77.491 29.677 2378.268 1.503 4.355 1.319 140.000 180.000
324 331.172 182.691 2374.146 1.330 9.335 2.996 180.000 180.000
333 0.786 8.971 2359.516 138.173 2.460 28.790 540.000 180.000
334 2529.540 3097.769 2405.327 8.708 26.203 8.882 580.000 180.000
414 0.783 0.000 2375.000 0.000 7.000 0.000 580.000 220.000
424 3.507 36.343 2393.951 41.662 1.759 18.771 980.000 220.000
434 215.258 1465.894 2396.186 1.866 0.809 0.882 1380.000 220.000
